Company Code,G/L Account
5100,15123200
5500,15123200
5600,15123200
5100,15123300
5500,15123300
5600,15123300
5100,15123400
5500,15123400
5600,15123400
5100,15124100
5500,15124100
5600,15124100
5100,15124200
5500,15124200
5600,15124200
5100,15124400
5500,15124400
5600,15124400
5100,15124500
5500,15124500
5600,15124500
5600,15125500
5100,15131200
5500,15131200
5600,15131200
5100,15131210
5500,15131210
5600,15131210
5100,15131220
5500,15131220
5600,15131220
5100,15131230
5500,15131230
5600,15131230
5100,15131240
5500,15131240
5600,15131240
5100,15132100
5500,15132100
5600,15132100
5100,15132200
5500,15132200
5600,15132200
5100,15141100
5500,15141100
5600,15141100
5100,15141200
5500,15141200
5600,15141200
5100,15141300
5400,15141300
5500,15141300
5600,15141300
5100,15141400
5500,15141400
5600,15141400
5100,15141500
5500,15141500
5600,15141500
5100,15141600
5400,15141600
5500,15141600
5600,15141600
5100,15141700
5300,15141700
5500,15141700
5600,15141700
5500,15141750
5100,15141800
5400,15141800
5500,15141800
5600,15141800
5100,15141810
5500,15141810
5600,15141810
5100,15141820
5500,15141820
5600,15141820
5100,15141900
5500,15141900
5600,15141900
5100,15141910
5500,15141910
5600,15141910
5100,15141920
5500,15141920
5600,15141920
5100,15141930
5500,15141930
5600,15141930
5100,15141940
5500,15141940
5600,15141940
5100,15142010
5500,15142010
5600,15142010
5100,15142020
5500,15142020
5600,15142020
5100,15142110
5400,15142110
5500,15142110
5600,15142110
5100,15142120
5400,15142120
5500,15142120
5600,15142120
5100,15142130
5400,15142130
5500,15142130
5600,15142130
5100,15142140
5500,15142140
5600,15142140
5100,15142150
5500,15142150
5600,15142150
5100,15142160
5500,15142160
5600,15142160
5400,15142210
5600,15142210
5400,15142220
5600,15142220
5400,15142230
5600,15142230
5400,15142310
5600,15142310
5400,15142320
5600,15142320
5400,15142330
5600,15142330
5100,15143010
5500,15143010
5600,15143010
5100,15143020
5500,15143020
5600,15143020
5100,15143030
5500,15143030
5600,15143030
5100,15143040
5500,15143040
5600,15143040
5100,15143050
5400,15143050
5500,15143050
5600,15143050
5100,15143110
5500,15143110
5600,15143110
5100,15143120
5500,15143120
5600,15143120
5100,15143130
5500,15143130
5600,15143130
5100,15143210
5500,15143210
5600,15143210
5100,15143220
5500,15143220
5600,15143220
5100,15143230
5500,15143230
5600,15143230
5100,15143240
5500,15143240
5600,15143240
5100,15143250
5400,15143250
5500,15143250
5600,15143250
5100,15143910
5400,15143910
5500,15143910
5600,15143910
5100,15143920
5500,15143920
5600,15143920
5100,15143930
5500,15143930
5600,15143930
5100,15144010
5500,15144010
5600,15144010
5100,15145010
5500,15145010
5600,15145010
5100,15146010
5500,15146010
5600,15146010
5100,15146020
5500,15146020
5600,15146020
5100,15146040
5500,15146040
5600,15146040
5100,15146050
5500,15146050
5600,15146050
5100,15146060
5500,15146060
5600,15146060
5100,15146070
5500,15146070
5600,15146070
5100,15146080
5500,15146080
5600,15146080
5100,15146090
5500,15146090
5600,15146090
5100,15147010
5500,15147010
5600,15147010
5100,15147020
5500,15147020
5600,15147020
5100,15147030
5500,15147030
5600,15147030
5100,15147040
5500,15147040
5600,15147040
5100,15147050
5500,15147050
5600,15147050
5100,15147080
5500,15147080
5600,15147080
5100,15148010
5300,15148010
5400,15148010
5500,15148010
5600,15148010
5100,15148020
5300,15148020
5400,15148020
5500,15148020
5600,15148020
5100,15148030
5500,15148030
5600,15148030
5100,15148040
5500,15148040
5600,15148040
5100,15148050
5500,15148050
5600,15148050
5100,15148060
5400,15148060
5500,15148060
5600,15148060
5100,15148070
5500,15148070
5600,15148070
5100,15148080
5500,15148080
5600,15148080
5100,15148090
5500,15148090
5600,15148090
5100,15148091
5100,15148092
5100,15149110
5500,15149110
5600,15149110
5100,15149120
5500,15149120
5600,15149120
5100,15149130
5500,15149130
5600,15149130
5100,15149140
5500,15149140
5600,15149140
5100,15149150
5500,15149150
5600,15149150
5100,15149160
5500,15149160
5600,15149160
5100,15149170
5500,15149170
5600,15149170
5100,15149210
5500,15149210
5600,15149210
5100,15149220
5500,15149220
5600,15149220
5100,15149230
5500,15149230
5600,15149230
5100,15149310
5500,15149310
5600,15149310
5100,15149330
5500,15149330
5600,15149330
5100,15149410
5500,15149410
5600,15149410
5100,15150001
5400,15150001
5500,15150001
5600,15150001
5100,15150002
5400,15150002
5500,15150002
5600,15150002
5100,15150003
5400,15150003
5500,15150003
5600,15150003
5100,15150004
5400,15150004
5500,15150004
5600,15150004
5100,15150021
5400,15150021
5500,15150021
5600,15150021
5100,15150022
5400,15150022
5500,15150022
5600,15150022
5100,15150023
5400,15150023
5500,15150023
5600,15150023
5100,15150024
5400,15150024
5500,15150024
5600,15150024
5100,15150041
5400,15150041
5500,15150041
5600,15150041
5100,15150042
5400,15150042
5500,15150042
5600,15150042
5100,15150043
5400,15150043
5500,15150043
5600,15150043
5100,15150044
5400,15150044
5500,15150044
5600,15150044
5100,15150401
5500,15150401
5600,15150401
5100,15150402
5500,15150402
5600,15150402
5100,15150403
5500,15150403
5600,15150403
5100,15150404
5500,15150404
5600,15150404
5100,15150461
5400,15150461
5500,15150461
5600,15150461
5100,15150462
5400,15150462
5500,15150462
5600,15150462
5100,15150463
5400,15150463
5500,15150463
5600,15150463
5100,15150481
5400,15150481
5500,15150481
5600,15150481
5100,15150482
5400,15150482
5500,15150482
5600,15150482
5100,15150483
5400,15150483
5500,15150483
5600,15150483
5100,15160001
5400,15160001
5500,15160001
5600,15160001
5100,15160002
5400,15160002
5500,15160002
5600,15160002
5100,15160003
5400,15160003
5500,15160003
5600,15160003
5100,15160004
5400,15160004
5500,15160004
5600,15160004
5100,15160051
5400,15160051
5500,15160051
5600,15160051
5100,15160052
5400,15160052
5500,15160052
5600,15160052
5100,15160053
5400,15160053
5500,15160053
5600,15160053
5100,15160101
5400,15160101
5500,15160101
5600,15160101
5100,15160102
5400,15160102
5500,15160102
5600,15160102
5100,15160103
5400,15160103
5500,15160103
5600,15160103
5100,15161001
5500,15161001
5600,15161001
5100,15161002
5500,15161002
5600,15161002
5100,15161003
5500,15161003
5600,15161003
5100,15161113
5500,15161113
5600,15161113
5100,15161120
5500,15161120
5600,15161120
5100,15511070
5500,15511070
5600,15511070
5100,15511080
5500,15511080
5600,15511080
5100,15511090
5500,15511090
5600,15511090
5100,15511100
5500,15511100
5600,15511100
5100,15511110
5500,15511110
5600,15511110
5100,15511120
5500,15511120
5600,15511120
5100,15511130
5500,15511130
5600,15511130
5100,15511140
5500,15511140
5600,15511140
5100,15511150
5500,15511150
5600,15511150
5100,15511160
5300,15511160
5500,15511160
5600,15511160
5100,15511170
5500,15511170
5600,15511170
5100,15511180
5500,15511180
5600,15511180
5100,15511190
5300,15511190
5500,15511190
5600,15511190
5100,15511200
5300,15511200
5500,15511200
5600,15511200
5100,15511210
5300,15511210
5400,15511210
5500,15511210
5600,15511210
5100,15511220
5300,15511220
5500,15511220
5600,15511220
5100,15511230
5300,15511230
5400,15511230
5500,15511230
5600,15511230
5400,15511240
5100,15511250
5300,15511250
5400,15511250
5500,15511250
5600,15511250
5100,15530010
5500,15530010
5600,15530010
5100,15530020
5500,15530020
5600,15530020
5100,15540010
5500,15540010
5600,15540010
5100,15540020
5500,15540020
5600,15540020
5100,15540030
5500,15540030
5600,15540030
5100,15540040
5500,15540040
5600,15540040
5100,15550010
5500,15550010
5600,15550010
5100,15550020
5500,15550020
5600,15550020
5100,15550030
5500,15550030
5600,15550030
5100,15560110
5500,15560110
5600,15560110
5100,15560120
5500,15560120
5600,15560120
5100,15560130
5500,15560130
5600,15560130
5100,15560140
5500,15560140
5600,15560140
5100,15560150
5500,15560150
5600,15560150
5100,15560210
5500,15560210
5600,15560210
5100,15560220
5500,15560220
5600,15560220
5100,15560310
5500,15560310
5600,15560310
5100,15560320
5500,15560320
5600,15560320
5100,15560510
5500,15560510
5600,15560510
5100,15560520
5500,15560520
5600,15560520
5100,15560530
5500,15560530
5600,15560530
5400,15560540
5600,15560540
5100,15570200
5500,15570200
5600,15570200
5100,15570300
5300,15570300
5400,15570300
5500,15570300
5600,15570300
5100,15570400
5500,15570400
5600,15570400
5100,15570500
5300,15570500
5500,15570500
5600,15570500
5100,15570700
5300,15570700
5500,15570700
5600,15570700
5100,15570800
5500,15570800
5600,15570800
5100,15570900
5500,15570900
5600,15570900
5100,15570910
5500,15570910
5600,15570910
5100,15570920
5500,15570920
5600,15570920
5100,15570930
5500,15570930
5600,15570930
5100,15570940
5500,15570940
5600,15570940
5100,19101100
5500,19101100
5600,19101100
5100,19101200
5500,19101200
5600,19101200
5100,21111010
5400,21111010
5500,21111010
5600,21111010
5400,21111020
5600,21111020
5400,21111030
5600,21111030
5400,21112010
5500,21112010
5600,21112010
5100,21112011
5400,21112011
5500,21112011
5600,21112011
5400,21112020
5600,21112020
5100,21113010
5400,21113010
5500,21113010
5600,21113010
5100,21113011
5400,21113011
5500,21113011
5600,21113011
5100,21113020
5400,21113020
5500,21113020
5600,21113020
5100,21113021
5400,21113021
5500,21113021
5600,21113021
5100,21113030
5400,21113030
5500,21113030
5600,21113030
5100,21113031
5400,21113031
5500,21113031
5600,21113031
5100,21113040
5400,21113040
5500,21113040
5600,21113040
5100,21113041
5400,21113041
5500,21113041
5600,21113041
5400,21113050
5600,21113050
5400,21113060
5600,21113060
5400,21113070
5600,21113070
5400,21113080
5600,21113080
5100,21114010
5400,21114010
5500,21114010
5600,21114010
5100,21114011
5400,21114011
5500,21114011
5600,21114011
5400,21114020
5600,21114020
5100,21115010
5400,21115010
5500,21115010
5600,21115010
5100,21115011
5400,21115011
5500,21115011
5600,21115011
5100,21115020
5400,21115020
5500,21115020
5600,21115020
5100,21115021
5400,21115021
5500,21115021
5600,21115021
5400,21115030
5600,21115030
5400,21115040
5600,21115040
5100,21116010
5400,21116010
5500,21116010
5600,21116010
5100,21116011
5400,21116011
5500,21116011
5600,21116011
5100,21116020
5400,21116020
5500,21116020
5600,21116020
5100,21116021
5400,21116021
5500,21116021
5600,21116021
5400,21116030
5600,21116030
5400,21116040
5600,21116040
5100,21117010
5400,21117010
5500,21117010
5600,21117010
5100,21117011
5400,21117011
5500,21117011
5600,21117011
5400,21117020
5600,21117020
5100,21118010
5400,21118010
5500,21118010
5600,21118010
5100,21118011
5400,21118011
5500,21118011
5600,21118011
5100,21118020
5400,21118020
5500,21118020
5600,21118020
5100,21118021
5400,21118021
5500,21118021
5600,21118021
5100,21118030
5400,21118030
5500,21118030
5600,21118030
5100,21118031
5400,21118031
5500,21118031
5600,21118031
5400,21118040
5600,21118040
5400,21118050
5600,21118050
5400,21118060
5600,21118060
